product_name,frisch,teigig,file
227,5,0,20230601
288,2,2,20230601
906,0,4,20230601
262,6,0,20230601
309,12,0,20230601
381,3,0,20230601
113,10,0,20230601
118,5,0,20230601
119,15,0,20230601
123,4,0,20230601
124,12,0,20230601
129,4,0,20230601
140,5,0,20230601
152,3,0,20230601
209,2,0,20230601
247,2,0,20230601
268,4,0,20230601
285,6,0,20230601
417,15,0,20230601
418,5,0,20230601
419,3,0,20230601
444,3,0,20230601
458,6,0,20230601
743,5,0,20230601
2113,1,0,20230601
2119,1,0,20230601
2124,1,0,20230601
2140,1,0,20230601
2417,1,0,20230601
2444,1,0,20230601
110,4,0,20230601
125,2,10,20230601
126,2,8,20230601
127,6,0,20230601
130,3,6,20230601
132,2,10,20230601
133,4,20,20230601
134,2,5,20230601
177,5,0,20230601
198,2,7,20230601
241,8,24,20230601
324,8,0,20230601
363,8,8,20230601
368,8,0,20230601
406,3,4,20230601
415,3,4,20230601
453,8,0,20230601
691,3,0,20230601
2110,2,0,20230601
2324,2,0,20230601
128,1,0,20230601
230,1,0,20230601
437,1,0,20230601
509,2,0,20230601
538,4,0,20230601
928,2,0,20230601
929,1,0,20230601
557,5,0,20230601
771,1,0,20230601
773,2,0,20230601
206,0,0,20230603
449,0,0,20230603
450,0,0,20230603
117,0,2,20230603
227,2,0,20230603
288,1,0,20230603
492,2,0,20230603
906,0,2,20230603
102,6,0,20230603
262,4,0,20230603
113,15,0,20230603
118,5,0,20230603
119,35,0,20230603
123,4,0,20230603
124,12,0,20230603
129,4,0,20230603
140,3,0,20230603
209,5,0,20230603
247,2,0,20230603
268,6,0,20230603
285,8,0,20230603
369,20,0,20230603
417,8,0,20230603
418,8,0,20230603
444,10,0,20230603
458,6,0,20230603
743,5,0,20230603
2113,2,0,20230603
2417,1,0,20230603
110,3,0,20230603
125,2,10,20230603
126,2,8,20230603
127,6,0,20230603
130,2,6,20230603
132,4,10,20230603
133,4,20,20230603
134,4,6,20230603
177,8,0,20230603
198,2,8,20230603
241,6,24,20230603
324,4,0,20230603
363,8,8,20230603
406,3,4,20230603
415,3,4,20230603
691,5,0,20230603
2110,1,0,20230603
2324,2,0,20230603
471,4,0,20230603
474,4,0,20230603
329,3,0,20230603
425,3,0,20230603
437,2,0,20230603
509,1,0,20230603
928,2,0,20230603
557,4,0,20230603
783,3,0,20230603
224,8,0,20230605
229,2,0,20230605
385,2,0,20230605
391,4,0,20230605
452,2,0,20230605
499,2,0,20230605
550,3,0,20230605
551,3,0,20230605
555,4,0,20230605
556,2,0,20230605
693,2,0,20230605
701,4,0,20230605
703,4,0,20230605
787,3,0,20230605
868,3,0,20230605
870,4,0,20230605
2010,0,2,20230605
2012,0,2,20230605
2149,1,0,20230605
2272,1,0,20230605
2302,1,0,20230605
206,1,0,20230605
449,1,0,20230605
450,1,0,20230605
117,6,6,20230605
